object_type,altitude_km,inclination_deg,eccentricity,mass_kg,area_m2,drag_coeff,mean_motion,solar_activity,decay_time_days
Debris,937.87,42.19,0.0474,1553.44,3.302,2.12,13.531,High,4000.0
Debris,1034.14,11.68,0.0238,1104.89,11.321,1.98,12.816,Medium,4000.0
Active,940.48,50.21,0.0159,1322.29,6.26,2.06,12.285,Medium,4000.0
Active,342.85,34.19,0.0383,646.48,3.573,2.36,14.755,Medium,4000.0
Debris,953.43,36.73,0.0249,963.07,17.185,2.38,12.698,High,4000.0
Debris,968.92,60.89,0.0156,1235.09,8.076,2.01,13.141,High,4000.0
Debris,858.54,70.43,0.0406,810.42,7.977,2.13,13.018,Medium,4000.0
Debris,966.12,10.84,0.0434,397.55,3.406,2.41,14.563,Low,4000.0
Debris,1045.92,3.49,0.0337,1923.32,7.667,1.84,15.589,Medium,4000.0
Debris,813.6,97.44,0.0024,1023.42,17.434,2.42,14.334,Medium,3929.6
Debris,288.6,22.81,0.0284,1468.11,7.269,1.95,13.358,Low,3270.9
Debris,687.63,5.28,0.0382,822.68,19.033,2.27,14.896,Low,1859.0
Debris,277.65,18.61,0.0069,710.91,18.927,2.21,14.205,Medium,680.5
Debris,607.54,3.82,0.0115,814.92,2.907,2.19,11.303,Medium,4000.0
Debris,607.11,38.4,0.0441,818.98,3.554,2.4,11.478,Medium,4000.0
Debris,266.01,78.64,0.0011,1088.82,17.255,1.87,11.19,Low,958.5
Debris,548.82,33.44,0.0377,1087.4,7.861,2.04,13.284,Medium,4000.0
Active,311.0,43.53,0.0237,994.81,0.097,2.18,15.129,Medium,4000.0
Debris,1008.24,66.21,0.0224,270.44,5.485,2.37,12.565,Low,3340.5
Debris,1147.69,49.87,0.0005,992.65,11.957,1.95,12.921,Low,4000.0
Debris,272.32,84.42,0.041,339.04,15.987,2.36,15.547,High,526.3
Debris,1155.12,84.87,0.0181,253.15,2.676,2.08,15.185,Medium,4000.0
Debris,722.58,0.97,0.0271,1865.36,2.22,1.93,14.325,Low,4000.0
Debris,499.57,76.25,0.0339,1210.3,18.443,2.33,12.334,High,3630.3
Active,276.86,45.15,0.0352,1319.32,15.025,1.86,11.585,Low,1412.5
Debris,700.62,96.91,0.0478,804.19,11.8,2.16,11.08,High,4000.0
Debris,994.52,47.36,0.0266,1818.05,15.386,1.84,11.535,Low,4000.0
Debris,907.09,96.72,0.02,1276.22,8.583,2.05,12.463,Low,4000.0
Debris,250.23,73.95,0.0477,1538.57,15.172,2.22,13.759,Medium,1597.8
Debris,272.9,24.36,0.0321,737.76,7.442,2.19,11.32,Low,1329.3
Active,602.87,52.76,0.015,1920.06,4.889,2.08,11.681,Medium,4000.0
Debris,495.29,97.23,0.0064,1641.1,14.583,2.1,11.905,Medium,4000.0
Active,432.38,84.04,0.0421,1708.04,8.399,1.96,14.16,High,4000.0
Active,481.0,9.54,0.0182,345.22,19.628,2.12,14.079,Medium,678.6
Debris,1003.48,69.22,0.0331,542.66,6.996,2.47,13.754,Medium,4000.0
Debris,1129.23,33.87,0.0236,571.97,18.435,2.4,12.253,Low,2405.3
Debris,605.1,0.68,0.01,542.55,18.66,1.9,12.856,Low,1265.3
Debris,1106.11,39.54,0.0301,1710.96,4.845,1.82,11.483,Medium,4000.0
Debris,521.5,23.01,0.0031,64.74,15.966,2.45,12.132,Low,112.8
Debris,676.44,80.25,0.0207,153.12,8.667,2.17,15.489,Medium,1037.5
Debris,426.03,33.06,0.0274,548.56,18.351,2.18,15.898,Medium,958.0
Debris,840.48,81.1,0.0219,400.55,9.008,2.35,14.238,Low,2398.1
Active,1178.98,0.06,0.0375,464.49,14.889,2.02,15.584,Medium,4000.0
Debris,803.49,30.17,0.0414,1596.09,9.345,2.14,14.214,Low,4000.0
Active,557.81,23.63,0.0386,1126.69,4.564,2.48,11.166,Medium,4000.0
Debris,847.82,22.89,0.002,12.54,3.995,2.27,15.984,Medium,236.3
Debris,322.92,6.68,0.0098,859.22,8.514,1.91,11.495,Medium,2574.7
Debris,1088.66,18.34,0.0269,816.36,15.112,1.89,14.413,Low,4000.0
Debris,703.08,54.44,0.0467,228.78,12.105,1.94,12.264,Medium,1305.3
Active,649.35,28.55,0.0418,1352.61,13.776,2.34,12.96,Low,3802.6
Active,785.86,40.9,0.0421,1404.49,5.654,2.01,14.23,Medium,4000.0
Active,824.78,36.93,0.0152,1442.07,9.634,1.81,13.182,Medium,4000.0
Debris,271.78,85.84,0.0215,1457.21,0.897,2.46,12.253,Medium,4000.0
Debris,882.62,88.72,0.0236,1.11,16.352,1.92,12.672,High,10.0
Active,441.93,48.31,0.008,1907.89,19.798,1.81,12.708,Medium,3901.1
Active,913.95,32.36,0.0017,1628.6,8.144,1.97,15.797,Low,4000.0
Active,1022.53,10.47,0.0474,1808.06,0.229,1.96,14.993,Low,4000.0
Debris,1003.96,93.43,0.0121,32.27,3.404,2.1,13.293,High,1441.7
Debris,752.5,5.9,0.0121,1867.78,13.054,2.44,11.999,Low,4000.0
Active,720.17,29.17,0.0043,1619.77,12.245,2.42,15.055,Medium,4000.0
Debris,342.88,29.21,0.0464,1674.6,15.759,2.12,11.786,Medium,2640.6
Active,975.35,31.4,0.029,187.48,5.085,2.09,12.052,Medium,3617.4
Active,471.41,16.1,0.0334,1477.82,15.275,2.19,12.83,Medium,3520.3
Debris,696.7,76.75,0.0456,1919.87,13.763,1.97,15.402,Medium,4000.0
Active,484.27,12.0,0.0173,1357.42,6.463,1.84,11.659,Medium,4000.0
Active,333.83,62.22,0.0311,1141.55,10.914,2.46,11.611,High,3245.0
Debris,829.56,12.14,0.002,1891.31,2.954,1.93,13.47,Medium,4000.0
Active,254.33,6.91,0.0094,886.43,9.057,1.94,12.382,Medium,1802.4
Debris,948.65,89.12,0.0416,1198.99,17.625,2.13,13.844,Medium,4000.0
Active,517.59,18.63,0.0384,953.2,8.43,2.14,13.258,Medium,4000.0
Debris,200.13,80.48,0.0176,1865.76,16.793,1.81,13.175,High,2408.9
Active,711.13,53.37,0.0189,153.09,11.809,1.9,11.56,Low,695.9
Debris,246.85,7.63,0.0267,1002.74,3.846,2.06,11.705,Low,3262.2
Debris,476.17,93.63,0.0001,1374.22,11.626,2.28,15.105,High,4000.0
Active,906.98,24.2,0.0121,1584.02,10.125,1.96,15.429,Medium,4000.0
Debris,262.69,84.25,0.0105,1166.45,7.979,2.1,12.173,Low,1945.4
Debris,1039.34,16.54,0.0126,1817.93,2.401,2.19,11.567,Medium,4000.0
Active,203.82,83.69,0.0403,1884.04,8.34,2.42,11.267,High,3751.4
Active,446.82,1.3,0.0141,129.57,1.465,2.03,14.041,High,4000.0
Debris,940.9,50.15,0.0097,805.34,1.984,1.89,14.577,Medium,4000.0
Debris,516.27,75.41,0.0253,47.89,8.324,2.14,12.864,Low,180.8
Debris,301.89,91.61,0.0433,659.5,6.115,2.32,14.398,High,3113.1
Debris,560.23,89.1,0.0121,1074.2,18.512,1.88,14.565,Medium,3078.4
Debris,470.39,80.32,0.004,1821.68,7.52,2.1,15.677,High,4000.0
Debris,1042.71,87.04,0.0179,1693.26,15.16,1.81,11.324,Low,4000.0
Active,513.35,19.52,0.0374,255.87,10.61,1.82,11.961,Low,884.7
Active,988.93,27.85,0.0276,186.97,14.085,2.14,11.343,Medium,1295.0
Active,1091.87,28.32,0.0409,1178.95,5.21,2.01,15.34,Low,4000.0
Debris,633.82,36.95,0.048,1064.7,18.839,2.39,14.963,Medium,2768.8
Debris,1109.94,38.55,0.0397,533.49,10.606,2.22,13.873,High,4000.0
Debris,577.32,53.37,0.0302,1799.01,16.628,2.12,11.418,Medium,4000.0
Debris,1164.08,15.67,0.0247,1854.81,7.307,2.09,12.367,High,4000.0
Debris,289.29,67.74,0.0021,805.82,2.013,2.15,12.489,Medium,4000.0
Active,887.02,16.42,0.0492,1780.71,13.477,1.83,13.804,Medium,4000.0
Debris,693.81,30.41,0.0192,768.51,0.165,2.42,12.29,High,4000.0
Debris,587.65,49.33,0.0077,1473.9,9.511,2.5,11.365,Medium,4000.0
Debris,832.71,78.05,0.0334,952.41,3.864,1.93,14.654,Medium,4000.0
Active,903.86,72.47,0.0143,246.04,12.551,1.88,12.495,Medium,1936.7
Debris,204.36,63.26,0.0293,1855.94,19.589,1.9,13.262,Medium,1340.5
Debris,366.95,15.27,0.0294,908.74,9.293,2.26,11.638,Low,1867.2
Debris,913.05,53.61,0.0223,1469.24,16.352,2.26,15.013,High,4000.0
Active,866.39,8.57,0.0418,734.98,10.161,2.39,13.828,High,4000.0
Debris,1166.05,36.98,0.0133,38.74,9.922,2.33,15.508,Medium,433.4
Active,961.04,40.52,0.0225,201.96,18.609,2.11,13.477,Medium,1034.6
Active,1150.77,3.9,0.0269,992.94,17.8,2.23,15.707,Medium,4000.0
Debris,902.54,26.85,0.0332,1380.24,15.718,2.28,15.459,Medium,4000.0
Debris,498.05,93.65,0.0392,670.14,5.932,2.16,13.882,Medium,4000.0
Active,305.36,93.46,0.0198,1391.28,10.905,2.13,15.669,High,4000.0
Debris,981.82,34.53,0.0323,1397.57,4.486,2.25,12.615,Medium,4000.0
Debris,844.15,4.22,0.0076,1408.17,8.884,2.19,12.828,Low,4000.0
Active,248.19,17.55,0.0466,985.55,9.689,2.25,11.227,High,2346.9
Active,560.05,38.44,0.0192,1829.86,16.634,2.23,13.946,Medium,4000.0
Active,1156.8,92.88,0.0365,978.9,17.922,2.3,14.61,High,4000.0
Active,700.4,13.84,0.0011,901.08,8.298,2.25,14.868,Low,4000.0
Debris,632.73,74.82,0.0103,399.56,0.364,2.16,11.749,Low,4000.0
Debris,657.7,10.65,0.0244,616.0,17.237,2.28,13.221,High,2888.6
Active,408.88,96.16,0.0439,85.63,3.494,2.11,11.884,Low,576.9
Debris,568.71,37.4,0.0264,1267.44,12.441,1.97,14.311,High,4000.0
Debris,569.81,75.97,0.0465,497.82,0.509,1.8,11.79,High,4000.0
Active,252.36,33.57,0.0242,609.01,7.996,2.19,15.521,Medium,1230.0
Debris,967.57,61.51,0.0246,1541.86,19.719,2.21,12.153,Low,4000.0
Debris,616.5,18.82,0.0061,655.12,2.023,2.48,12.457,Medium,4000.0
Debris,1022.18,14.31,0.0402,485.15,8.48,2.05,15.255,High,4000.0
Debris,1050.35,91.93,0.0124,338.95,6.15,2.08,13.292,Medium,4000.0
Debris,411.99,89.93,0.045,1549.94,18.103,1.94,11.12,Medium,2951.8
Debris,857.35,86.97,0.0456,260.28,17.388,1.85,13.473,Medium,1403.1
Debris,672.28,61.29,0.0472,908.05,4.762,2.34,11.423,Low,4000.0
Debris,1080.16,79.21,0.0261,1014.35,1.633,1.97,15.927,High,4000.0
Active,415.74,6.77,0.0339,1375.09,12.546,2.23,13.941,High,4000.0
Debris,877.81,32.81,0.0389,1266.93,6.734,2.28,12.283,High,4000.0
Active,807.75,30.74,0.0066,1621.63,13.445,2.13,13.819,Medium,4000.0
Debris,495.3,62.29,0.0301,90.46,0.652,2.41,11.384,Medium,4000.0
Debris,336.6,34.88,0.0018,593.59,2.677,2.11,14.999,Low,4000.0
Active,851.64,14.55,0.0249,560.99,13.731,2.0,15.627,Medium,3511.8
Debris,938.6,58.45,0.0078,292.89,4.255,2.43,15.372,Medium,4000.0
Active,515.63,79.81,0.0092,579.07,17.153,2.4,12.709,High,1889.2
Debris,844.83,37.45,0.0183,620.22,1.181,1.91,12.629,High,4000.0
Active,595.13,12.96,0.0217,1044.25,4.317,1.82,11.175,High,4000.0
Debris,913.21,19.28,0.0312,1327.75,19.971,1.86,14.257,High,4000.0
Active,399.22,23.27,0.0038,762.82,8.667,2.0,13.675,High,4000.0
Debris,1090.22,29.39,0.0252,1439.22,14.062,2.48,13.297,Low,4000.0
Active,487.41,62.99,0.0092,672.99,3.661,2.19,15.538,High,4000.0
Debris,567.79,58.89,0.0287,581.28,12.201,2.06,11.839,Medium,2347.1
Debris,258.09,68.22,0.0319,1082.83,14.525,2.42,11.048,Low,841.3
Active,311.51,35.53,0.0279,48.41,6.296,2.12,11.367,Low,126.5
Debris,715.86,80.75,0.0369,160.5,16.58,2.02,12.117,Medium,657.3
Debris,467.59,20.0,0.0168,836.52,12.072,2.46,11.166,Low,1665.8
Debris,1035.48,45.97,0.0383,1885.88,7.789,2.39,13.514,Medium,4000.0
Debris,214.69,78.49,0.0217,1443.3,11.157,2.39,12.57,Medium,1551.4
Debris,579.09,17.66,0.0243,177.17,11.539,2.16,11.902,High,1110.2
Debris,537.35,10.77,0.0324,1692.79,3.319,2.35,14.75,High,4000.0
Active,219.33,86.6,0.001,1464.87,8.061,1.93,12.022,Medium,2774.9
Debris,324.37,33.61,0.0327,1222.28,6.875,2.2,14.438,Low,2970.7
Debris,613.64,67.02,0.031,1640.77,8.024,2.49,12.746,Low,4000.0
Active,692.86,2.48,0.0156,808.82,15.225,2.0,13.559,Low,2619.0
Active,604.29,67.62,0.0044,443.78,9.656,2.36,15.669,Low,1607.3
Debris,730.94,30.98,0.0046,1024.53,18.807,2.14,11.187,High,4000.0
Debris,795.13,5.46,0.0462,1098.13,5.881,1.83,13.501,Medium,4000.0
Debris,209.92,59.76,0.0345,1077.11,8.32,2.33,15.272,Low,1160.1
Debris,664.1,23.6,0.0064,1130.58,15.741,1.92,13.94,Low,3490.6
Debris,1163.5,37.91,0.0179,1897.46,10.925,2.24,12.384,Medium,4000.0
Debris,719.03,7.9,0.0297,1804.59,10.945,1.86,12.988,Medium,4000.0
Debris,877.54,14.42,0.0418,1751.56,1.076,2.46,14.401,Low,4000.0
Debris,511.86,29.2,0.0023,1603.03,7.978,2.0,15.454,High,4000.0
Active,973.99,8.8,0.0119,1886.91,5.422,1.96,11.205,Low,4000.0
Active,972.92,89.26,0.0445,197.89,19.987,1.89,11.358,Low,803.1
Debris,721.3,0.59,0.0006,530.98,6.174,2.46,12.625,Low,3632.1
Debris,1176.01,47.42,0.0101,990.62,17.691,2.3,12.164,Medium,4000.0
Debris,325.55,12.08,0.048,1693.22,13.528,2.32,12.325,Low,1992.6
Active,216.95,30.15,0.0307,1010.83,6.825,2.15,12.106,Low,1501.2
Debris,970.16,90.75,0.0132,1496.32,10.875,2.13,11.979,Low,4000.0
Debris,1007.16,15.85,0.0034,278.78,16.812,1.88,11.653,Medium,1885.7
Active,320.21,94.65,0.0015,505.58,17.669,2.19,15.67,Low,472.3
Active,465.58,20.17,0.0123,1463.82,3.216,1.97,11.721,Low,4000.0
Active,217.55,72.67,0.0441,330.3,6.798,2.48,12.022,Medium,571.3
Active,493.31,53.57,0.0209,703.36,6.711,2.36,12.231,Low,2815.6
Debris,973.14,86.68,0.036,530.47,0.85,2.09,15.665,Medium,4000.0
Debris,717.96,54.29,0.0459,700.37,11.969,1.91,14.779,Low,3163.7
Active,548.1,52.39,0.0205,1416.94,17.098,2.35,14.948,Low,2563.8
Active,571.74,19.15,0.0096,736.33,7.638,1.89,11.524,Medium,4000.0
Debris,201.35,16.29,0.0259,1110.97,14.803,1.93,15.182,Low,769.1
Debris,499.8,89.82,0.0454,200.76,12.558,1.95,13.041,Low,528.7
Debris,846.46,32.13,0.0402,1610.23,7.519,2.19,12.314,Medium,4000.0
Active,1174.19,36.46,0.0034,740.41,2.83,2.35,13.879,High,4000.0
Active,1047.06,74.46,0.0347,1297.42,14.189,2.02,15.111,Medium,4000.0
Debris,223.59,33.2,0.0286,1451.05,17.093,1.86,14.893,High,2068.7
Debris,1098.56,93.3,0.0454,420.11,13.72,2.13,15.45,High,4000.0
Debris,983.2,72.32,0.0062,1769.47,0.367,2.32,15.641,High,4000.0
Active,980.38,58.55,0.0267,1232.83,4.332,1.96,12.191,Medium,4000.0
Active,658.0,86.33,0.044,858.02,1.399,1.95,13.119,Medium,4000.0
Active,598.01,4.86,0.0206,365.49,11.412,2.46,11.073,Low,1060.1
Debris,502.92,25.19,0.0242,1884.66,15.132,2.47,15.397,Low,3278.1
Debris,265.69,45.57,0.0036,1510.38,2.22,2.49,11.773,Medium,4000.0
Debris,428.24,22.24,0.014,416.84,16.768,2.37,15.307,High,1106.6
Debris,446.6,72.9,0.0163,676.08,11.115,1.93,12.647,Medium,2341.0
Active,684.08,90.08,0.0473,1619.54,13.802,1.95,12.841,Medium,4000.0
Active,947.44,41.53,0.0142,1391.66,19.428,2.04,11.196,Medium,4000.0
Active,673.81,33.53,0.0231,1531.8,1.683,2.02,12.634,Medium,4000.0
Active,257.84,94.23,0.0336,882.96,18.025,2.47,15.442,Medium,721.3
Debris,1157.79,43.6,0.0082,1433.24,2.531,2.35,11.128,Medium,4000.0
Active,1142.72,47.93,0.0244,773.6,7.865,2.31,13.032,Low,4000.0
Active,985.19,34.46,0.037,423.31,17.03,1.93,11.157,Medium,2675.7
Active,1191.33,89.14,0.0434,1265.72,18.126,2.44,12.855,High,4000.0
Debris,744.48,55.76,0.0314,1952.05,10.132,2.38,11.863,High,4000.0
Debris,1162.77,74.69,0.0335,621.89,11.886,1.91,12.261,Low,4000.0
Debris,275.61,79.56,0.0064,922.48,14.166,2.41,15.388,High,1607.4
Active,565.68,33.5,0.0473,1348.33,16.657,1.99,13.18,Low,3081.2
Debris,425.38,42.5,0.0067,1083.47,2.439,1.86,12.369,Low,4000.0
Debris,395.83,83.15,0.0388,1687.01,16.203,2.26,13.947,Medium,2925.1
Debris,340.8,35.6,0.0133,1523.72,9.631,2.26,11.711,Low,2744.1
Debris,822.41,77.81,0.0467,117.54,9.018,1.87,12.297,Low,858.8
Debris,981.32,92.22,0.036,1996.84,8.484,2.02,13.731,Low,4000.0
Debris,778.3,61.07,0.0377,1505.05,10.189,2.49,12.188,Medium,4000.0
Debris,346.96,72.68,0.011,1727.94,18.902,2.27,14.396,Low,1615.8
Debris,1011.12,78.9,0.0222,1302.74,10.969,2.31,13.457,Medium,4000.0
Active,835.95,82.81,0.0309,1712.71,19.064,1.95,14.86,Medium,4000.0
Debris,588.17,38.72,0.0385,225.65,3.614,1.86,15.741,Medium,3566.6
Active,874.13,5.02,0.0053,696.13,14.485,1.99,11.579,High,4000.0
Debris,459.9,39.38,0.0481,1752.97,16.247,1.97,12.673,Medium,4000.0
Debris,545.19,66.03,0.0445,404.11,13.586,1.96,12.598,Low,1095.7
Active,1117.49,44.13,0.0136,157.41,12.142,1.93,11.756,Low,1232.9
Debris,490.5,73.4,0.0412,1576.45,11.301,2.2,15.052,Medium,4000.0
Debris,669.99,34.98,0.026,1671.14,17.22,2.03,14.799,Medium,4000.0
Debris,1090.14,62.2,0.0231,326.14,16.435,2.37,13.422,Low,1488.1
Active,907.72,18.27,0.0158,1708.84,2.455,1.93,13.689,Low,4000.0
Debris,262.2,73.44,0.0291,1373.85,16.973,2.13,11.298,Medium,1412.5
Active,347.3,53.48,0.0365,1040.65,8.287,1.81,13.778,Medium,3716.3
Debris,207.84,20.0,0.0206,1660.67,5.081,2.14,14.957,Medium,4000.0
Debris,830.92,28.61,0.0315,839.08,17.397,1.84,13.869,High,4000.0
Debris,647.67,73.36,0.035,388.79,8.646,2.48,12.327,Medium,2183.6
Debris,334.27,47.29,0.0356,570.42,16.169,2.35,14.338,Medium,765.1
Debris,1157.93,21.17,0.0027,1010.82,5.275,2.14,12.807,Medium,4000.0
Debris,729.66,94.79,0.043,1063.13,0.089,1.86,13.724,High,4000.0
Debris,441.89,70.08,0.023,1611.36,9.914,2.21,13.438,Medium,4000.0
Active,700.6,93.8,0.0132,1582.91,2.014,2.33,12.906,Low,4000.0
Debris,879.62,41.86,0.0122,1163.15,15.09,1.93,14.594,Low,4000.0
Debris,276.24,46.56,0.0242,1561.79,5.529,2.2,15.419,Medium,4000.0
Active,474.7,88.0,0.0444,384.36,8.878,2.37,11.026,High,2203.3
Debris,1006.97,51.45,0.019,101.08,1.75,2.34,15.668,Low,3957.0
Debris,659.66,69.31,0.0375,1747.39,5.74,2.36,13.558,Low,4000.0
Active,746.58,24.71,0.0049,152.03,15.632,2.42,14.504,High,873.3
Active,632.82,43.78,0.0239,494.13,3.04,2.46,15.278,High,4000.0
Debris,243.9,12.1,0.0496,1390.94,12.947,2.08,13.336,Low,1310.6
Active,365.75,20.19,0.0385,819.49,18.349,2.2,15.175,Low,872.3
Debris,645.54,0.09,0.0106,1752.75,13.6,2.35,11.888,Medium,4000.0
Debris,409.19,3.85,0.0251,596.66,16.222,2.29,11.796,Low,798.6
Debris,249.98,95.77,0.0118,24.73,2.188,2.5,14.287,High,236.9
Active,1043.65,23.75,0.0205,602.01,5.022,1.81,15.351,Low,4000.0
Debris,1181.19,65.0,0.039,1156.57,17.892,2.05,15.462,Low,4000.0
Debris,993.14,82.23,0.0386,752.5,14.305,2.0,14.219,Low,4000.0
Debris,1053.78,53.96,0.0115,1070.21,12.795,1.98,13.627,Low,4000.0
Debris,441.98,15.01,0.0461,1753.32,13.279,1.96,12.657,Low,3702.5
Debris,1160.63,71.36,0.0297,1825.06,8.29,2.3,15.9,Low,4000.0
Debris,396.93,58.82,0.0191,532.68,0.901,1.86,12.598,Medium,4000.0
Debris,1151.43,71.66,0.0251,924.82,15.691,2.32,14.721,Low,4000.0
Debris,1194.82,75.44,0.0303,1098.74,13.577,2.29,13.66,High,4000.0
Debris,911.72,95.59,0.028,1898.28,9.461,1.98,14.043,Low,4000.0
Debris,1181.14,56.21,0.0244,1997.24,17.996,1.98,12.967,Medium,4000.0
Debris,769.54,33.48,0.0253,471.58,6.73,2.24,15.824,Low,3535.3
Debris,459.54,63.55,0.0089,1454.23,5.893,2.33,13.858,Low,4000.0
Active,637.0,6.71,0.0407,756.68,17.457,2.41,15.689,Medium,2119.7
Debris,793.56,87.94,0.0271,17.21,15.942,2.4,11.038,Medium,70.5
Debris,273.08,11.7,0.0066,19.5,10.304,2.48,13.863,Medium,29.9
Debris,822.34,32.13,0.0383,921.67,2.623,2.21,14.586,Medium,4000.0
Debris,1181.18,79.94,0.0466,977.18,4.309,2.44,14.725,Medium,4000.0
Debris,390.11,58.54,0.0474,46.12,13.128,2.37,15.525,Medium,92.4
Debris,992.6,38.58,0.0185,1374.17,7.707,2.43,11.022,High,4000.0
Debris,1107.9,46.4,0.0069,588.71,16.731,1.81,11.002,Medium,4000.0
Debris,1143.7,83.75,0.026,1120.23,19.0,2.48,13.361,High,4000.0
Debris,1160.14,33.32,0.0057,602.54,16.115,2.13,11.146,High,4000.0
Debris,721.46,85.23,0.0467,335.1,7.557,2.36,15.873,Low,1952.6
Debris,1177.31,8.64,0.0093,814.94,15.776,1.89,12.11,Low,4000.0
Debris,957.31,76.13,0.0127,465.31,7.035,2.08,13.363,Medium,4000.0
Debris,361.67,83.06,0.0204,1070.07,3.35,1.99,11.306,Medium,4000.0
Debris,676.9,17.82,0.0192,398.46,0.678,2.0,13.61,Medium,4000.0
Debris,918.33,42.17,0.0398,1017.3,7.72,1.89,12.9,Medium,4000.0
Debris,447.34,16.22,0.0229,315.6,18.072,2.36,11.223,Low,413.1
Active,840.62,69.25,0.0086,1342.28,4.787,1.81,12.676,Low,4000.0
Debris,866.6,52.46,0.0134,1508.12,4.138,2.02,12.957,Low,4000.0
Debris,362.7,62.26,0.0255,221.68,19.397,1.92,15.95,Medium,337.3
Active,765.09,19.26,0.0075,936.14,0.51,2.21,12.039,Medium,4000.0
Active,971.63,20.75,0.0306,142.67,15.718,1.98,13.724,Low,701.5
Debris,698.9,4.07,0.0283,1196.77,6.434,1.98,15.937,Medium,4000.0
Debris,212.1,31.56,0.0358,529.54,0.759,2.14,14.96,Low,4000.0
Active,209.04,54.85,0.0469,1055.72,18.357,2.26,15.967,Low,528.4
Active,557.03,84.08,0.0456,1035.4,2.801,1.88,15.841,Medium,4000.0
Debris,1126.19,65.36,0.0473,1848.78,11.04,1.92,13.448,Low,4000.0
Debris,428.68,42.67,0.0123,1098.62,5.488,1.97,14.482,Medium,4000.0
Debris,834.36,93.41,0.0067,1166.41,1.313,2.48,11.552,High,4000.0
Debris,422.08,70.49,0.0152,803.9,1.008,2.08,13.206,High,4000.0
Debris,521.67,91.16,0.0448,1898.21,2.32,2.22,15.045,Low,4000.0
Debris,1048.04,51.7,0.0486,1554.59,1.437,1.97,13.527,Medium,4000.0
Debris,928.86,25.37,0.043,571.53,15.214,2.14,14.513,Medium,3378.2
Active,295.4,5.18,0.0056,1688.57,9.716,1.85,14.729,Medium,4000.0
Debris,628.7,71.16,0.0474,865.36,6.864,1.82,12.267,Medium,4000.0
Debris,229.17,11.89,0.0212,1657.51,8.373,2.13,15.378,Low,2174.9
Active,680.89,29.67,0.0006,1645.95,18.58,2.08,13.299,Low,4000.0
Active,862.43,52.18,0.0222,378.55,18.216,1.9,12.051,Medium,1911.3
Debris,318.5,55.31,0.0024,1402.58,14.316,2.28,15.327,Medium,2056.8
Debris,488.88,58.86,0.0272,582.0,17.695,2.5,13.089,Low,824.4
Debris,597.84,16.29,0.017,595.69,6.4,2.08,14.752,Low,3642.2
Debris,1119.53,37.21,0.0237,593.4,7.628,2.24,13.74,Medium,4000.0
Debris,1193.26,60.49,0.0307,1451.41,12.278,2.47,12.909,Low,4000.0
Debris,244.91,95.04,0.0435,460.42,12.476,2.38,15.049,Low,395.6
Debris,961.01,71.31,0.0331,2.81,9.639,2.12,13.922,Low,20.7
Debris,571.72,90.42,0.0218,1430.76,8.019,2.32,12.953,Low,4000.0
Debris,592.46,74.7,0.041,343.2,19.724,1.89,11.548,Medium,987.5
Debris,954.26,57.99,0.0453,209.86,16.424,2.16,15.477,Low,884.3
Debris,1118.43,18.82,0.0061,475.79,8.705,2.0,11.177,Low,4000.0
Debris,1150.93,65.34,0.0266,760.42,14.549,1.91,15.316,Low,4000.0
Debris,777.12,61.09,0.0143,952.34,5.399,2.1,12.8,Low,4000.0
Active,557.12,59.04,0.0024,90.1,2.012,1.89,14.197,Medium,2346.0
Debris,987.55,48.0,0.0335,1941.18,7.055,2.29,15.611,Low,4000.0
Debris,451.0,51.81,0.0432,1432.41,8.065,2.12,11.759,Medium,4000.0
Active,764.07,32.78,0.0082,647.06,0.341,2.17,13.835,Low,4000.0
Debris,558.58,50.89,0.0406,638.08,16.298,1.9,14.822,Low,1535.4
Debris,856.63,19.36,0.0427,897.64,7.19,1.9,14.788,Low,4000.0
Debris,440.4,78.91,0.0457,1252.86,11.613,2.21,13.628,Low,2670.5
Debris,391.59,18.21,0.0133,293.6,1.489,2.49,14.124,Medium,4000.0
Active,1118.24,8.33,0.0452,378.67,3.508,1.87,14.788,Medium,4000.0
Debris,301.8,42.75,0.0161,1719.01,17.795,2.0,15.205,High,3233.3
Debris,705.96,64.51,0.0277,513.25,12.178,2.41,14.809,Low,1766.8
Debris,420.85,42.9,0.0026,761.01,19.006,1.85,12.77,Low,1116.2
Debris,238.93,27.12,0.0023,1742.67,19.975,2.41,15.984,Low,894.3
Debris,236.02,54.7,0.036,1326.63,7.443,2.17,13.173,Medium,2662.8
Debris,375.22,34.01,0.0223,684.08,5.983,2.09,11.122,Low,2430.2
Debris,1066.77,91.42,0.0129,1367.72,17.169,2.02,12.813,Medium,4000.0
Active,482.48,90.42,0.0096,40.35,19.972,2.01,11.639,Low,61.9
Debris,1150.46,49.23,0.0335,1471.55,12.597,2.01,11.607,Low,4000.0
Debris,781.62,32.13,0.0001,974.55,15.905,2.42,12.408,High,4000.0
Debris,636.61,72.24,0.0403,1626.55,15.637,2.31,11.267,Medium,4000.0
Debris,780.09,3.6,0.0041,1909.32,7.113,2.27,14.443,Medium,4000.0
Debris,716.7,46.53,0.0097,1851.65,11.49,2.36,11.37,Medium,4000.0
Debris,958.78,32.96,0.0194,1818.62,16.663,1.98,12.016,Medium,4000.0
Debris,482.5,90.21,0.0243,1024.83,13.765,2.23,11.464,Low,2056.6
Debris,553.05,1.18,0.0178,720.92,0.433,2.12,11.316,Medium,4000.0
